"date","btc_price","btc_market_cap","btc_volume","gold_price"
2013-12-27,734.27,8944473292,62881800,1214.5
2013-12-30,760.52,9270681761,24717100,1204.5
2013-12-31,755.16,9205343763,21903500,1204.5
2014-01-01,767.74,9358693020,23448600,1204.5
2014-01-02,772.53,9417082760,16837800,1225
2014-01-03,825.47,10062417390,54171500,1234.5
2014-01-06,936.38,11414401972,88584600,1246.25
2014-01-07,826.5,10107681750,80268100,1227.5
2014-01-08,838.32,10256342208,78060300,1221
2014-01-09,853.29,10443906952,58813600,1226
2014-01-10,863.3,10570439442,29763600,1244.25
2014-01-13,840.96,10309307616,42950500,1248
2014-01-14,838.05,10276902394,23469400,1251.5
2014-01-15,860.44,10555404678,28600400,1236
2014-01-16,837.98,10283900055,18719700,1241.5
2014-01-17,812.9,9979241690,39266000,1250
2014-01-20,869.15,10677333920,25421600,1255.75
2014-01-21,869.57,10686776168,26779700,1238
2014-01-22,865.03,10635024832,17879900,1241
2014-01-23,846.97,10417265166,18412100,1263
2014-01-24,808.32,9945387408,20176000,1267
2014-01-27,891.86,10984370725,32539200,1260.5
2014-01-28,777,9573533550,61878700,1251.25
2014-01-29,816.85,10067676250,33409200,1264
2014-01-30,817.17,10074827642,16261700,1242.5
2014-01-31,817.93,10087796517,31107400,1251
2014-02-03,813.38,10043290888,12759200,1262
2014-02-04,832.36,10281144248,14823400,1250.25
2014-02-05,830.92,10267242207,15706200,1254.5
2014-02-06,805.08,9951171213,47441900,1256.5
2014-02-07,721.32,8918941470,65733100,1259.25
2014-02-10,689.65,8535556672,38527400,1277
2014-02-11,697.76,8638931672,121884000,1282
2014-02-12,655.26,8115968452,65970400,1289.5
2014-02-13,651.91,8077474557,19109100,1296
2014-02-14,623.57,7729134561,90917600,1320
2014-02-17,645.14,8005429360,48516100,1327.5
2014-02-18,625.01,7758139753,22066400,1320.75
2014-02-19,620.99,7711283048,13276100,1320.5
2014-02-20,593.89,7377405511,35743400,1316.25
2014-02-21,582.75,7241455462,56059000,1323.25
2014-02-24,572.39,7120130927,47229500,1334.75
2014-02-25,489.31,6088839080,111102000,1339
2014-02-26,567.25,7061198906,75039300,1331.75
2014-02-27,586.28,7300959497,38219000,1332.25
2014-02-28,567.2,7065922360,24649000,1326.5
2014-03-03,585.79,7304054418,33049800,1349.5
2014-03-04,675,8418886875,86124600,1334.75
2014-03-05,658.24,8212712376,26946700,1337
2014-03-06,654.55,8169324004,16659800,1345.25
2014-03-07,617.62,7711032022,29823000,1335.25
2014-03-10,621.17,7763134192,16425700,1344
2014-03-11,624.23,7803983008,12542300,1346.25
2014-03-12,638.07,7979719372,20806300,1366
2014-03-13,639.03,7994472985,12866600,1368.75
2014-03-14,629.67,7879611671,11939800,1385
2014-03-17,623.705,7812934238,13371500,1378.5
2014-03-18,612.622,7676276184,23217800,1355.75
2014-03-19,610.636,7653772688,15227500,1338
2014-03-20,592.07,7423640092,20048500,1327
2014-03-21,582.303,7303695511,38053400,1336
2014-03-24,571.418,7175538679,17185800,1310.75
2014-03-25,582.55,7317439677,18634700,1313.5
2014-03-26,584.442,7343002343,17583200,1304
2014-03-27,567.64,7133333206,22316700,1296
2014-03-28,503.661,6331497248,79571600,1294.75
2014-03-31,457.399,5756309240,56838500,1291.75
2014-04-01,478.7163,6023351178,35685800,1283.75
2014-04-02,437.515,5506313797,49647600,1292
2014-04-03,447.0822,5604036051,40765500,1284
2014-04-04,448.8792,5641613449,22925500,1297.25
2014-04-07,457.792,5775641210,9802770,1299
2014-04-08,450.4638,5718579640,10921600,1309.5
2014-04-09,440.1983,5589580215,13204400,1301.75
2014-04-10,360.8407,4611917257,55868300,1320.5
2014-04-11,420.0563,5318033925,62562800,1318
2014-04-14,457.6338,5802302128,50730200,1325.75
2014-04-15,520.1233,6522974948,49561000,1298
2014-04-16,529.1625,6674473792,56480100,1301.5
2014-04-17,494.4,6278792387,34025500,1299
2014-04-18,478.2312,6074116360,19042400,1299
2014-04-21,492.6733,6284666435,15171400,1299
2014-04-22,484.8533,6187034895,9770190.33501529,1286.75
2014-04-23,487.525,6231920621,8412033.04319361,1285.25
2014-04-24,494.2733,6350012525,9512215.00374305,1291.5
2014-04-25,458.8067,5857079867,44062361.8074585,1301.25
2014-04-28,436.92,5593864954,20781687.9768326,1299
2014-04-29,443.27,5683724524,15011935.5515187,1297.75
2014-04-30,444.9968,5690810165,13054745.6836081,1288.5
2014-05-01,455.0913,5821425472,11953625.1349763,1278.5
2014-05-02,443.4734,5716625927,8165770.14787406,1281.25
2014-05-05,429.0761,5518951942,8567756.39235356,1281.25
2014-05-06,426.7634,5463474513,10822749.1246333,1306.25
2014-05-07,439.3,5590798951,16360711.0363652,1296
2014-05-08,437.3633,5609810850,8491458.54602885,1287
2014-05-09,447.4933,5730133343,8820053.29316331,1291.25
2014-05-12,439.19,5633629021,5903393.67434933,1298.75
2014-05-13,437.305,5625308533,5619474.10898487,1296.5
2014-05-14,444.2467,5669111766,6764834.29138491,1305.25
2014-05-15,444.25,5712906334,6219944.38500291,1299
2014-05-16,445.165,5725217915,5292980.73069865,1291.5
2014-05-19,443.87,5706978471,11697296.0196285,1302
2014-05-20,483.4167,6214911439,59415447.4829202,1295.5
2014-05-21,488.7717,6294422409,20125942.2524611,1287.25
2014-05-22,522.6083,6716604600,28758404.0073102,1298.5
2014-05-23,524.475,6662964359,30253343.7004326,1291.5
2014-05-26,579.6217,7479335238,26174591.7152378,1291.5
2014-05-27,569.475,7325147499,33059214.236353,1275.5
2014-05-28,571.5533,7402205099,15739188.2859884,1263.5
2014-05-29,565.26,7290260762,14362990.9441187,1255
2014-05-30,621.1467,7897757908,42271699.6374901,1250.5
2014-06-02,656.41,8487587033,41153743.5514714,1247.25
2014-06-03,667.3683,8580309812,37419432.1129867,1242.75
2014-06-04,641.1833,8249183077,43722721.8564088,1245.25
2014-06-05,658.1,8478552324,24809749.5691626,1252.5
2014-06-06,648.63,8409353268,14032413.3666774,1247.5
2014-06-09,643.905,8290260777.375,15165258.0016828,1253.5
2014-06-10,649.0567,8359493314.815,13698528.1037434,1259.5
2014-06-11,630.0367,8116778557.0175,20706208.814386,1262
2014-06-12,567.175,7309311839.375,41032286.0522032,1265.75
2014-06-13,594.6833,7666330027.785,37950646.151919,1273
2014-06-16,592.52,7646618730,25803391.3306294,1276.25
2014-06-17,607.1583,7838352937.17,14064824.7823029,1267.5
2014-06-18,604.19,7802403926.75,14955835.7704409,1269.75
2014-06-19,593.3883,7665345555.2775,11266428.3011317,1293
2014-06-20,590.055,7625133251.25,14899960.9724874,1312.5
2014-06-23,586.1483,7582634214.4125,11249420.6191876,1313.5
2014-06-24,582.415,7537047075.375,11613405.8170864,1318.5
2014-06-25,561.4717,7268686297.0675,18237241.3455973,1316.75
2014-06-26,579.5867,7505647765,12733876.6536463,1311.75
2014-06-27,598.2367,7750006889.325,19906418.8259485,1317.5
2014-06-30,637.755,8269625590.125,47015974.0588285,1315
2014-07-01,643.935,8351853048.375,38496541.6857567,1327.5
2014-07-02,648.1075,8408206448.5625,25992122.1671542,1326.5
2014-07-03,640.2838,8308930858.41,18539083.7471549,1317.5
2014-07-04,627.1288,8140821665.68,22418156.5507615,1319.25
2014-07-07,619.495,8048556476.875,18525910.6462055,1313
